ID,Build Version,Expected Result,Actual Result,Test Status,Browser Name
00-01,Prototype,2,2,PASS,Google Chrome
00-01,Prototype,2,2,PASS,Firefox
00-01,Prototype,2,2,PASS,Microsoft Edge
00-02,Prototype,0.3,0.30000000000000004,FAIL,Google Chrome
00-02,Prototype,0.3,0.30000000000000004,FAIL,Firefox
00-02,Prototype,0.3,0.30000000000000004,FAIL,Microsoft Edge
00-03,Prototype,NONE,NONE,PASS,Google Chrome
00-03,Prototype,NONE,NONE,PASS,Firefox
00-03,Prototype,NONE,NONE,PASS,Microsoft Edge
00-04,Prototype,NONE,NONE,PASS,Google Chrome
00-04,Prototype,NONE,NONE,PASS,Firefox
00-04,Prototype,NONE,NONE,PASS,Microsoft Edge
00-05,Prototype,10,10,PASS,Google Chrome
00-05,Prototype,10,10,PASS,Firefox
00-05,Prototype,10,10,PASS,Microsoft Edge
00-06,Prototype,10.1,10.1,PASS,Google Chrome
00-06,Prototype,10.1,10.1,PASS,Firefox
00-06,Prototype,10.1,10.1,PASS,Microsoft Edge
00-07,Prototype,0,0,PASS,Google Chrome
00-07,Prototype,0,0,PASS,Firefox
00-07,Prototype,0,0,PASS,Microsoft Edge
00-08,Prototype,1999999998,1999999998,PASS,Google Chrome
00-08,Prototype,1999999998,1999999998,PASS,Firefox
00-08,Prototype,1999999998,1999999998,PASS,Microsoft Edge
00-09,Prototype,9999999999,9999999999,PASS,Google Chrome
00-09,Prototype,9999999999,9999999999,PASS,Firefox
00-09,Prototype,9999999999,9999999999,PASS,Microsoft Edge
00-10,Prototype,9999999999.1,9999999999.1,PASS,Google Chrome
00-10,Prototype,9999999999.1,9999999999.1,PASS,Firefox
00-10,Prototype,9999999999.1,9999999999.1,PASS,Microsoft Edge
00-11,Prototype,0.22222222,0.22222222,PASS,Google Chrome
00-11,Prototype,0.22222222,0.22222222,PASS,Firefox
00-11,Prototype,0.22222222,0.22222222,PASS,Microsoft Edge
00-12,Prototype,-1999999998,-1999999998,PASS,Google Chrome
00-12,Prototype,-1999999998,-1999999998,PASS,Firefox
00-12,Prototype,-1999999998,-1999999998,PASS,Microsoft Edge
00-13,Prototype,0,0,PASS,Google Chrome
00-13,Prototype,0,0,PASS,Firefox
00-13,Prototype,0,0,PASS,Microsoft Edge
00-14,Prototype,0,1,FAIL,Google Chrome
00-14,Prototype,0,1,FAIL,Firefox
00-14,Prototype,0,1,FAIL,Microsoft Edge
00-15,Prototype,0.00000001,1e-8,FAIL,Google Chrome
00-15,Prototype,0.00000001,1e-8,FAIL,Firefox
00-15,Prototype,0.00000001,1e-8,FAIL,Microsoft Edge
00-16,Prototype,0,0,PASS,Google Chrome
00-16,Prototype,0,0,PASS,Firefox
00-16,Prototype,0,0,PASS,Microsoft Edge
00-17,Prototype,0,0,PASS,Google Chrome
00-17,Prototype,0,0,PASS,Firefox
00-17,Prototype,0,0,PASS,Microsoft Edge
00-18,Prototype,1999999998,1999999998,PASS,Google Chrome
00-18,Prototype,1999999998,1999999998,PASS,Firefox
00-18,Prototype,1999999998,1999999998,PASS,Microsoft Edge
00-19,Prototype,-1999999998,-1999999998,PASS,Google Chrome
00-19,Prototype,-1999999998,-1999999998,PASS,Firefox
00-19,Prototype,-1999999998,-1999999998,PASS,Microsoft Edge
00-20,Prototype,-19999999,-1.9999999000000002,FAIL,Google Chrome
00-20,Prototype,-19999999,-1.9999999000000002,FAIL,Firefox
00-20,Prototype,-19999999,-1.9999999000000002,FAIL,Microsoft Edge
00-21,Prototype,-2.1,-2.1,PASS,Google Chrome
00-21,Prototype,-2.1,-2.1,PASS,Firefox
00-21,Prototype,-2.1,-2.1,PASS,Microsoft Edge
00-22,Prototype,0.1,0.10000000000000009,FAIL,Google Chrome
00-22,Prototype,0.1,0.10000000000000009,FAIL,Firefox
00-22,Prototype,0.1,0.10000000000000009,FAIL,Microsoft Edge
00-23,Prototype,NONE,NONE,PASS,Google Chrome
00-23,Prototype,NONE,NONE,PASS,Firefox
00-23,Prototype,NONE,NONE,PASS,Microsoft Edge
00-24,Prototype,NONE,NONE,PASS,Google Chrome
00-24,Prototype,NONE,NONE,PASS,Firefox
00-24,Prototype,NONE,NONE,PASS,Microsoft Edge
00-25,Prototype,0,0,PASS,Google Chrome
00-25,Prototype,0,0,PASS,Firefox
00-25,Prototype,0,0,PASS,Microsoft Edge
00-26,Prototype,3.45,3.45,PASS,Google Chrome
00-26,Prototype,3.45,3.45,PASS,Firefox
00-26,Prototype,3.45,3.45,PASS,Microsoft Edge
00-27,Prototype,-0.1000001,-0.10000010000000001,FAIL,Google Chrome
00-27,Prototype,-0.1000001,-0.10000010000000001,FAIL,Firefox
